par,tp,sl
BTCUSDT,13,0
ETHUSDT,3,12
BNBUSDT,4,1
SOLUSDT,13,0
XRPUSDT,13,0
TONUSDT,13,0
DOGEUSDT,13,0
ADAUSDT,13,0
SHIBUSDT,13,0
AVAXUSDT,13,0
TRXUSDT,13,0
DOTUSDT,13,0
BCHUSDT,13,0
LINKUSDT,13,0
NEARUSDT,13,0
POLUSDT,13,0
LTCUSDT,13,0
ICPUSDT,13,0
UNIUSDT,13,0
ETCUSDT,13,0
HBARUSDT,13,0
APTUSDT,13,0
PEPEUSDT,13,0
ATOMUSDT,13,0
IMXUSDT,13,0
FILUSDT,13,0
XLMUSDT,13,0
STXUSDT,13,0
WIFUSDT,13,0
KASUSDT,13,0
GRTUSDT,13,0
ARUSDT,13,0
ARBUSDT,13,0
OPUSDT,13,0
VETUSDT,13,0
TAOUSDT,13,0
MKRUSDT,13,0
SUIUSDT,13,0
INJUSDT,13,0
THETAUSDT,13,0
RUNEUSDT,13,0
FETUSDT,13,0
TIAUSDT,13,0
FLOKIUSDT,13,0
LDOUSDT,13,0
ALGOUSDT,13,0
1000BONKUSDT,13,0
SEIUSDT,13,0
COREUSDT,13,0
JUPUSDT,13,0
FLOWUSDT,13,0
ENAUSDT,13,0
GALAUSDT,13,0
AAVEUSDT,13,0
BSVUSDT,13,0
BEAMUSDT,13,0
QNTUSDT,13,0
DYDXUSDT,13,0
ONDOUSDT,13,0
WLDUSDT,13,0
CHZUSDT,13,0
EGLDUSDT,13,0
WUSDT,13,0
NEOUSDT,13,0
PENDLEUSDT,13,0
AXSUSDT,13,0
SANDUSDT,13,0
1000XECUSDT,13,0
JASMYUSDT,13,0
XTZUSDT,13,0
CETUSUSDT,13,0
STRKUSDT,13,0
MINAUSDT,13,0
SNXUSDT,13,0
CFXUSDT,13,0
MANAUSDT,13,0
ORDIUSDT,13,0
APEUSDT,13,0
CKBUSDT,13,0
AXLUSDT,13,0
PYTHUSDT,13,0
CAKEUSDT,13,0
IOTAUSDT,13,0
LUNCUSDT,13,0
BLURUSDT,13,0
ROSEUSDT,13,0
GLMUSDT,13,0
LPTUSDT,13,0
OMUSDT,13,0
1000SATSUSDT,13,0
ARKMUSDT,13,0
WOOUSDT,13,0
CRVUSDT,13,0
BAKEUSDT,13,0
SUSHIUSDT,13,0
GMTUSDT,13,0
ETHFIUSDT,13,0
MANTAUSDT,13,0
ZILUSDT,13,0
CELOUSDT,13,0
HOTUSDT,13,0
IOUSDT,13,0
SUPERUSDT,13,0
ZROUSDT,13,0
ZRXUSDT,13,0
ANKRUSDT,13,0
BATUSDT,13,0
JTOUSDT,13,0
IDUSDT,13,0
ENJUSDT,13,0
GRASSUSDT,13,0
HYPEUSDT,13,0
END,0,0
